Ep_No,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken_in_Prec,Equity_Asked_in_Prec,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken_in_Prec,Namita_Amount_Invested,Namita_Equity_Taken_in_Prec,Anupam_Amount_Invested,Anupam_Equity_Taken_in_Prec,Vineeta_Amount_Invested,Vineeta_Equity_Taken_in_Prec,Aman_Amount_Invested,Aman_Equity_Taken_in_Prec,Peyush_Amount_Invested,Peyush_Equity_Taken_in_Prec,Ghazal_Amount_Invested,Ghazal_Equity_Taken_in_Prec,Total_investors,Partners,Unwanted
16,Flying Furr,3,1,Delhi,Dog Hygiene,Food,No Deal,0,75,0,0,0,7,25 to 30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Beyond Water,1,1,Kolkata,Liquid Water Enhancer,Lifestyle,75 lakhs for 15 perct Equity,75,75,0,0,15,4,30 to 35,2,0,0,37.5,7.5,0,0,0,0,37.5,7.5,0,0,0,0,2,Ama Nam,0
16,Lets Try,1,3,Delhi,Healthy Snacks,Food,45 lakhs for 12 perct Equity,45,45,0,0,12,2,45 to 50,4,0,0,0,0,22.5,6,0,0,22.5,6,0,0,0,0,2,Ama Anu,0
17,Find Your Kicks India,3,0,Ludhiana,Sneaker Resale,Lifestyle,50 lakhs for 25 perct equity,50,50,0,0,25,10,20 to 25,3,10,5,10,5,10,5,0,0,10,5,10,5,0,0,5,Ama Anu Ash Nam Pey,0
17,Aas Vidyalaya,1,1,Mumbai,EdTech App,Technology,1.5 Crore for 15 perct Equity,150,150,0,0,15,3,50 to 55,2,50,3,50,3,0,0,0,0,0,0,50,3,0,0,3,Ash Nam Pey,0
17,Outbox,1,1,Kolkata,Premium Suprise Planning,Lifestyle,No Deal,0,50,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,RoadBounce,1,0,Pune,Pothole Detection Software and Data,Technology,80 Lakhs for 20 perct Equity,80,80,0,0,20,10,45 to 50,1,0,0,0,0,0,0,0,0,0,0,80,20,0,0,1,Pey,0
18,Mommys Kitchen,2,1,Bangalore,Thin Crust Pizza,Food,No Deal,0,90,0,0,0,3,45 to 50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,India Hemp and Co,0,1,Bangalore,Hemp Food Products,Food,No Deal,0,50,0,0,0,4,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Otua,2,0,Gurgaon,Electric Auto Vehicle,Automobile,1 lakh for 1 perct equity and 99 lakhs Debt,1,100,99,0,1,1,41 to 45,2,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Ash,0
18,Anthyesti,0,1,Kolkata,Funeral Service,Lifestyle,No Deal,0,50,0,0,0,2.5,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ethik,2,0,Bangalore,Leather free Shoes,Lifestyle,No Deal,0,15,0,0,0,5,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,WeSTOCK,2,0,Kerela,Livestock health monitoring AI,Technology,60 lakhs for 10 perct equity,50,50,0,0,10,5,35 to 40,2,12.5,2.5,12.5,2.5,0,0,0,0,12.5,2.5,12.5,2.5,0,0,4,Ama Ash Nam Pey,0
19,KetoIndia,1,1,Delhi,Customised Keto Diets for various medical issues,Health,No Deal,0,150,0,0,0,1.25,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Magic lock,3,0,Unknown,LPG Cylinder lock,Lifestyle,No Deal,0,120,0,0,0,8,40 to 45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,The State Plate,1,1,Bangalore,Delicacies,Food,40 Lakhs for 3 perctequity and 25 Lakhs Debt,40,65,25,0,3,2,20 to 25,2,0,0,0,0,0,0,0,0,0,0,65,3,0,0,1,Pey,0
20,Bakarmax,1,0,Delhi,Comics & Animation,Lifestyle,No Deal,0,35,0,0,0,5,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,IN A CAN,2,0,Pune,Can Cocktails,Food,1 Crore for 10  perct equity,100,50,0,0,10,2,30 to 35,2,20,2,20,2,20,2,0,0,20,2,20,2,0,0,5,Ama Anu Ash Nam Pey,0
21,Get a Whey,1,1,Mumbai,Sugar Free Icecream,Food,1 Crore for 15 perct equity,100,100,0,0,15,8,40 to 45,2,33.33,5,0,0,0,0,33.33,5,33.33,5,0,0,0,0,3,Ama Ash Pey,0
